alpha_label,b,seed,path,tau,successes,evidence_at_stop,evidence_previous,threshold_at_stop,threshold_previous,p_hat,k_hat,lambda_hat,sigma_hat2,v_hat,target,center,lower_95,upper_95,covers_95,lower_50,upper_50,covers_50
1e-256,589.46178380647575,260604241,35,1573,943,599.30951197890249,598.21196016577642,598.51630641601309,598.51567089009393,0.59949141767323588,0.38099778256764305,-2.4968213604577238,0.76900037777919161,13.904622704237495,2.6184282293850227,2.6685360157570899,2.3675128848371578,2.9695591466770219,1,2.5649437977474951,2.7721282337666846,1
1e-256,589.46178380647575,260604241,36,1664,978,599.46317449786648,598.38541741758104,598.57251138945026,598.57191060841683,0.58774038461538458,0.36025431159727556,-2.4233774038461533,0.73437375983429465,15.706867814071353,2.6184282293850227,2.8229141323711366,2.502976697547064,3.1428515671952093,1,2.7128128640850746,2.9330154006571987,0
1e-256,589.46178380647575,260604241,37,1529,926,599.44816339976398,598.34043352745778,598.48795400142217,598.48730019296477,0.60562459123610202,0.39205242864601958,-2.5351536952256368,0.78702202848876923,13.060338786253963,2.6184282293850227,2.5938916516799688,2.3021506395059999,2.8856326638539378,1,2.4934937239755217,2.6942895793844159,1
1e-256,589.46178380647575,260604241,38,1604,955,599.39324984149812,598.30256833456019,598.53581002259978,598.53518677546219,0.59538653366583538,0.37368656473908862,-2.4711658354114707,0.75691583802899487,14.505247425542173,2.6184282293850227,2.721126363175062,2.4136704609251276,3.0285822654249963,1,2.6153204114633857,2.8269323148867382,1
1e-256,589.46178380647575,260604241,39,1570,942,599.59634653371359,598.49794667955507,598.51439862529128,598.51376188537802,0.59999999999999998,0.38190850097688761,-2.4999999999999991,0.77049647893641593,13.832245291385126,2.6184282293850227,2.6634466272972865,2.3632079729547191,2.963685281639854,1,2.5601243741517785,2.7667688804427946,1
1e-256,589.46178380647575,260604241,40,1556,936,598.55756564756678,597.45659893614607,598.50544715886974,598.50480469177398,0.60154241645244211,0.38467709874522288,-2.5096401028277624,0.77503208679029889,13.615408853471886,2.6184282293850227,2.6396961478182024,2.3418200831535572,2.9375722124828476,1,2.5371869415114361,2.7422053541249687,1
1e-256,589.46178380647575,260604241,41,1488,910,599.51369011735471,598.39620937592224,598.46079101971975,598.4601192024287,0.61155913978494625,0.40289898529392115,-2.5722446236559136,0.80440904267611146,12.299527367727352,2.6184282293850227,2.5243366760626511,2.2412206357382174,2.8074527163870848,1,2.4269068922394839,2.6217664598858184,1
1e-256,589.46178380647575,260604241,42,1466,901,598.87507513179366,597.75263884687706,598.44590576517862,598.44522386948233,0.61459754433833558,0.40850960104487971,-2.5912346521145966,0.8132871240511832,11.929907943551608,2.6184282293850227,2.4870144940240904,2.2081849360553978,2.7658440519927829,1,2.3910598334359157,2.5829691546122651,0
1e-256,589.46178380647575,260604241,43,1677,983,599.55792365364789,598.48284899171631,598.58028887406283,598.57969274885886,0.58616577221228383,0.35751814171356461,-2.4135360763267735,0.7297282816435865,15.968603052898956,2.6184282293850227,2.8449681490302861,2.5223760497741319,3.1675602482864402,1,2.733953321125898,2.9559829769346742,0
1e-256,589.46178380647575,260604241,44,1537,929,599.24008462498216,598.13433874400766,598.49316913710129,598.49251873057426,0.60442420299284316,0.38987643762197927,-2.5276512687052692,0.78349858977763798,13.220785271420285,2.6184282293850227,2.6074633542394454,2.3139357906102225,2.9009909178686684,1,2.5064506138883011,2.7084760945905897,1
1e-256,589.46178380647575,260604241,45,1464,900,598.48282418956967,597.36013336192013,598.44454150848685,598.443858681557,0.61475409836065575,0.40879974329888635,-2.5922131147540979,0.81374408114500552,11.911213234463229,2.6184282293850227,2.4836215683842213,2.2050105653787284,2.7622325713897142,1,2.3877421199344813,2.5795010168339614,0
1e-256,589.46178380647575,260604241,46,1524,924,599.35565516443319,598.24681208168943,598.48468067607723,598.48402472328223,0.60629921259842523,0.39327798895304011,-2.539370078740157,0.78900131445485611,12.971159672773672,2.6184282293850227,2.585409337580296,2.294666070199241,2.8761526049613511,1,2.4853547675300915,2.6854639076305005,1
1e-256,589.46178380647575,260604241,47,1563,939,599.0750181860011,597.97533982939046,598.50993290814097,598.50929331745715,0.60076775431861806,0.38328536032373711,-2.5047984644913623,0.77275445992666492,13.723814066248725,2.6184282293850227,2.6515713875577442,2.3525118366805051,2.9506309384349834,1,2.5486549037059874,2.7544878714095011,1
1e-256,589.46178380647575,260604241,48,1652,973,598.71930957838015,597.63944086406411,598.56527808485669,598.56467294111667,0.58898305084745761,0.36242088957529067,-2.4311440677966094,0.73803935379121255,15.503860564542158,2.6184282293850227,2.8025565785319215,2.4846934226479873,3.1204197344158557,1,2.6931691396300761,2.911944017433767,0
1e-256,589.46178380647575,260604241,49,1660,976,598.63330858562665,597.55519217294534,598.57010609664894,598.56950386838628,0.58795180722891571,0.36062247505158229,-2.4246987951807228,0.73499744938043876,15.672109694272248,2.6184282293850227,2.8161282810913981,2.4965450410947696,3.1357115210880266,1,2.7061489031985104,2.9261076589842858,0
1e-256,589.46178380647575,260604241,50,1504,916,599.01518058557031,597.90182334273106,598.47147916421864,598.47081449154553,0.60904255319148937,0.39828137007019304,-2.5565159574468082,0.79704295799695468,12.615711586612777,2.6184282293850227,2.5514800811816043,2.2647480970645866,2.838212065298622,1,2.4528059290717641,2.6501542332914445,1
1e-256,589.46178380647575,260604241,51,1524,924,599.35565516443319,598.24681208168943,598.48468067607723,598.48402472328223,0.60629921259842523,0.39327798895304011,-2.539370078740157,0.78900131445485611,12.971159672773672,2.6184282293850227,2.585409337580296,2.294666070199241,2.8761526049613511,1,2.4853547675300915,2.6854639076305005,1
1e-256,589.46178380647575,260604241,52,1451,895,598.72717068358327,597.60113150403265,598.43562818242049,598.43493923991991,0.61681598897312195,0.41263071721818284,-2.6050999310820115,0.81975770692345828,11.668118848382489,2.6184282293850227,2.4615675517250715,2.1858142722878773,2.7373208311622657,1,2.3666715423950886,2.5564635610550543,0
1e-256,589.46178380647575,260604241,53,1814,1034,598.68315573128098,597.63602542478804,598.65877173373462,598.65822061771075,0.57001102535832415,0.33003481572837978,-2.3125689084895256,0.68207457562563789,18.973724574946843,2.6184282293850227,3.0773835553613234,2.7257449410145314,3.4290221697081154,0,2.956372841378371,3.1983942693442757,0
1e-256,589.46178380647575,260604241,54,1689,987,598.59712365362338,597.52511828375248,598.58741479495279,598.58682290384354,0.58436944937833035,0.3544091910323407,-2.4023090586145641,0.72442800382237982,16.273475034128658,2.6184282293850227,2.8653257028695012,2.53966870494471,3.1909827007942924,1,2.7532561399017692,2.9773952658372331,0
1e-256,589.46178380647575,260604241,55,1581,946,599.14766923894285,598.0520139999943,598.52137613536331,598.52074382424519,0.59835547122074639,0.37896753272545403,-2.4897216951296643,0.7656577927008632,14.067881268108117,2.6184282293850227,2.6821077183165669,2.3793225406938099,2.9848928959393239,1,2.5779091205725502,2.7863063160605837,1
1e-256,589.46178380647575,260604241,56,1587,948,598.58654128690148,597.49256207839164,598.52516162884274,598.52453170756212,0.59735349716446129,0.37718118543598078,-2.4834593572778827,0.76270838498292637,14.213742964463911,2.6184282293850227,2.692286495236174,2.3879356635970748,2.9966373268752733,1,2.5875491031088389,2.7970238873635092,1
1e-256,589.46178380647575,260604241,57,1568,941,599.19093457374765,598.09232231522685,598.51312473976873,598.51248718794602,0.60012755102040816,0.38213707562101257,-2.5007971938775504,0.77087165366760679,13.814162133293046,2.6184282293850227,2.6600537016574171,2.3600113653580537,2.9600960379567804,1,2.5567990081757417,2.7633083951390924,1
1e-256,589.46178380647575,260604241,58,1610,957,598.85150490020055,597.76246507908331,598.53954137021265,598.53892044501424,0.59440993788819874,0.37195745645975192,-2.4650621118012417,0.75403867958028326,14.652570395665728,2.6184282293850227,2.7313051400946695,2.4222918398580813,3.0403184403312578,1,2.6249632351781083,2.8376470450112308,0
1e-256,589.46178380647575,260604241,59,1613,958,598.58300784388791,597.49478528849193,598.5414018358656,598.5407820651609,0.59392436453812769,0.3710991989112758,-2.4620272783632977,0.7526078645359946,14.726471516582871,2.6184282293850227,2.7363945285544733,2.4266029448219495,3.0461861122869971,1,2.6297847900221436,2.843004267086803,0
1e-256,589.46178380647575,260604241,60,1630,965,599.43351805580369,598.34849883839979,598.55187958965666,598.55126628083656,0.59202453987730064,0.36775062457411267,-2.4501533742331283,0.74700822291326452,15.019833745712996,2.6184282293850227,2.7652343964933608,2.4523723896368419,3.0780964033498797,1,2.6575680217461639,2.8729007712405576,0
1e-256,589.46178380647575,260604241,61,1664,978,599.46317449786648,598.38541741758104,598.57251138945026,598.57191060841683,0.58774038461538458,0.36025431159727556,-2.4233774038461533,0.73437375983429465,15.706867814071353,2.6184282293850227,2.8229141323711366,2.502976697547064,3.1428515671952093,1,2.7128128640850746,2.9330154006571987,0
1e-256,589.46178380647575,260604241,62,1628,964,599.02173511229921,597.93652511524658,598.55065259563776,598.55003853359813,0.59213759213759209,0.36794946874219853,-2.4508599508599502,0.7473415022093659,15.002186497026749,2.6184282293850227,2.7618414708534917,2.4491633134465816,3.0745196282604019,1,2.6542383649062926,2.8694445768006909,0
1e-256,589.46178380647575,260604241,63,1545,932,599.04117284235895,597.93739428279503,598.49835721618308,598.49771017636749,0.60323624595469261,0.38772891446107377,-2.5202265372168284,0.7800097221465786,13.381828141402009,2.6184282293850227,2.621035056798922,2.3257251693731984,2.9163449442246456,1,2.5194089586811286,2.7226611549167155,1
1e-256,589.46178380647575,260604241,64,1881,1059,598.97928126082411,597.94452826113059,598.69502130718104,598.69448981633673,0.56299840510366828,0.31843661949007129,-2.2687400318979263,0.66143044696031206,20.484018906890288,2.6184282293850227,3.1910465642969399,2.8256808020185069,3.5564123265753729,0,3.0653118754591691,3.3167812531347107,0
1e-256,589.46178380647575,260604241,65,1763,1015,598.76847730913062,597.71137679918763,598.63027022360245,598.62970316943358,0.57572319909245606,0.33963044657352842,-2.34826999432785,0.69891624212920123,17.840428640894537,2.6184282293850227,2.9908639515446596,2.6498886623793352,3.3318392407099839,0,2.8735228476130343,3.1082050554762848,0
1e-256,589.46178380647575,260604241,66,1558,937,598.96178987594749,597.86103972262333,598.50673085609344,598.50608921346634,0.60141206675224645,0.38444274061357347,-2.5088254172015398,0.77464888678682553,13.633579889551539,2.6184282293850227,2.6430890734580714,2.3450143033400503,2.9411638435760925,1,2.5405114858990641,2.7456666610170788,1
1e-256,589.46178380647575,260604241,67,1400,875,599.22000439862302,598.08078453389612,598.39987253337267,598.39915850263901,0.625,0.42801428885615933,-2.6562499999999996,0.84353068055939162,10.757864748606163,2.6184282293850227,2.3750479479084081,2.1102690903656276,2.6398268054511886,1,2.2839286075072915,2.4661672883095247,0
1e-256,589.46178380647575,260604241,68,1516,921,599.57832171183611,598.46746752625972,598.47942096638428,598.47876155323797,0.60751978891820579,0.3955002122109737,-2.5469986807387857,0.7925806748537616,12.811598393609779,2.6184282293850227,2.571837635020819,2.282888151730802,2.860787118310836,1,2.4724003666113661,2.6712749034302719,1
1e-256,589.46178380647575,260604241,69,1561,938,598.67024977977132,597.57035670150037,598.50865331743535,598.50801290755112,0.60089686098654704,0.38351713630991119,-2.5056053811659185,0.77313410108468283,13.705677478291696,2.6184282293850227,2.6481784619178752,2.3493165861545426,2.9470403376812078,1,2.5453300047437768,2.7510269190919736,1
1e-256,589.46178380647575,260604241,70,1556,936,598.55756564756678,597.45659893614607,598.50544715886974,598.50480469177398,0.60154241645244211,0.38467709874522288,-2.5096401028277624,0.77503208679029889,13.615408853471886,2.6184282293850227,2.6396961478182024,2.3418200831535572,2.9375722124828476,1,2.5371869415114361,2.7422053541249687,1
